"userid";"username";"usercode";"p1";"p2";"p3";"p4";"p5";"p6";"p7";"p8";"p9";"p10";"p11";"p101";"p102";"p103";"p104"
"11";"Upresnime pozdeji";"OPERACE";"2018-09-15 07:52:56.770070";"2018-09-15 09:12:56.071101";"2018-09-15 10:30:12.926543";"2018-09-15 11:51:05.956127";"2018-09-15 14:34:23.417589";"2018-09-15 15:34:46.972600";"2018-09-15 16:49:15.892356";"2018-09-15 17:56:14.966381";"2018-09-15 18:57:49.092736";"2018-09-15 19:53:09.773346";"2018-09-15 20:13:23.573005";"None";"None";"None";"None"
"12";"Pøipálený šnek";"OBELISK";"2018-09-15 08:01:42.772514";"2018-09-15 09:48:21.954103";"2018-09-15 10:46:17.380326";"2018-09-15 12:10:01.658639";"2018-09-15 14:23:47.094637";"2018-09-15 14:44:28.411945";"2018-09-15 16:24:05.438595";"2018-09-15 17:56:26.958018";"2018-09-15 18:49:06.513749";"2018-09-15 19:52:15.187822";"2018-09-15 20:06:37.552986";"None";"None";"None";"None"
"13";"Bavorske kozene kalhotky";"FEROMON";"2018-09-15 07:17:07.716753";"2018-09-15 08:21:58.288450";"2018-09-15 09:38:49.711283";"2018-09-15 11:12:11.851696";"2018-09-15 12:21:35.803533";"2018-09-15 13:35:47.249005";"2018-09-15 14:33:26.550708";"2018-09-15 16:02:56.909693";"2018-09-15 17:25:16.884920";"2018-09-15 19:00:02.171894";"2018-09-15 19:24:36.977385";"2018-09-15 18:08:39.262324";"None";"None";"None"
"14";"Chvojkovice Brod";"ZORNICE";"2018-09-15 08:14:37.259984";"2018-09-15 09:01:52.082481";"2018-09-15 10:19:46.789373";"2018-09-15 12:05:27.054689";"2018-09-15 13:43:29.023788";"2018-09-15 14:54:06.334289";"2018-09-15 15:49:41.026184";"2018-09-15 17:31:40.240567";"2018-09-15 18:43:50.313349";"2018-09-15 19:40:30.308751";"2018-09-15 20:01:56.007299";"None";"None";"None";"None"
"15";"Kundratka";"PARAZIT";"2018-09-15 07:39:25.585365";"2018-09-15 09:07:43.719875";"2018-09-15 10:02:38.668328";"2018-09-15 11:26:19.650151";"2018-09-15 13:04:05.795424";"2018-09-15 14:12:18.911680";"2018-09-15 16:05:52.971449";"2018-09-15 17:15:18.043287";"2018-09-15 18:25:35.507382";"2018-09-15 19:28:32.271996";"2018-09-15 19:55:22.998445";"None";"None";"None";"None"
"16";"Pozdní sbìr";"TRAFIKA";"2018-09-15 07:54:46.096207";"2018-09-15 08:54:08.709474";"2018-09-15 10:26:38.532768";"2018-09-15 12:30:39.036244";"2018-09-15 15:08:48.481225";"2018-09-15 16:03:48.019189";"2018-09-15 17:23:41.093393";"2018-09-15 18:27:30.446741";"2018-09-15 19:15:02.863630";"2018-09-15 19:52:24.868526";"2018-09-15 20:12:09.708240";"None";"None";"None";"None"
"17";"Degen a spol";"FLOTILA";"2018-09-15 07:30:07.546166";"2018-09-15 08:43:40.028169";"2018-09-15 09:23:01.628423";"2018-09-15 10:43:15.976268";"2018-09-15 11:39:10.628868";"2018-09-15 12:52:40.538428";"2018-09-15 13:48:59.258113";"2018-09-15 14:51:11.004650";"2018-09-15 15:50:43.392806";"2018-09-15 17:13:32.485665";"2018-09-15 17:40:02.511449";"2018-09-15 18:30:25.956435";"2018-09-15 18:44:09.233949";"2018-09-15 20:05:45.163829";"2018-09-15 20:12:47.694265"
"18";"FCB";"VIDLICE";"2018-09-15 08:16:28.987898";"2018-09-15 09:19:45.376204";"2018-09-15 10:24:13.515020";"2018-09-15 12:48:26.077371";"2018-09-15 14:01:13.100909";"2018-09-15 15:21:14.508094";"2018-09-15 16:22:27.871611";"2018-09-15 18:20:11.047399";"2018-09-15 19:25:38.683143";"2018-09-15 20:19:35.349019";"2018-09-15 20:41:21.298756";"2018-09-15 10:36:54.686353";"None";"None";"None"
"19";"Kat Kudrna";"ZAJATEC";"2018-09-15 07:43:52.408164";"2018-09-15 08:38:16.890054";"2018-09-15 09:50:32.133178";"2018-09-15 11:12:37.541369";"2018-09-15 13:18:19.517788";"2018-09-15 14:20:55.451472";"2018-09-15 15:43:36.422144";"2018-09-15 16:57:17.692745";"2018-09-15 18:24:15.155085";"2018-09-15 19:34:41.293652";"2018-09-15 19:59:04.846046";"None";"None";"None";"None"
"20";"Slovní pøíèka";"SAMOVAR";"2018-09-15 07:38:49.052050";"2018-09-15 08:38:27.322017";"2018-09-15 09:59:24.703665";"2018-09-15 12:16:43.960433";"2018-09-15 14:20:48.480046";"2018-09-15 15:12:32.419489";"2018-09-15 16:22:57.272297";"2018-09-15 17:35:16.003953";"2018-09-15 18:42:19.904709";"2018-09-15 19:43:10.267545";"2018-09-15 20:05:21.883372";"None";"None";"None";"None"
"21";"Podej, Pøines";"CHAPADLO";"2018-09-15 08:01:43.822659";"2018-09-15 09:03:38.669348";"2018-09-15 10:53:00.970499";"2018-09-15 12:53:39.861546";"2018-09-15 14:59:14.227423";"2018-09-15 15:53:52.470287";"2018-09-15 17:24:02.679604";"2018-09-15 18:32:38.564794";"2018-09-15 19:13:15.490280";"2018-09-15 20:09:05.117983";"2018-09-15 20:29:56.965638";"None";"None";"None";"None"
"22";"Nadoj Duhu";"ONDATRA";"2018-09-15 08:04:54.207135";"2018-09-15 09:13:52.928655";"2018-09-15 10:33:07.493293";"2018-09-15 12:15:10.978487";"2018-09-15 14:21:14.595831";"2018-09-15 15:28:21.418972";"2018-09-15 16:12:13.120788";"2018-09-15 17:19:40.506670";"2018-09-15 18:16:40.679725";"2018-09-15 19:19:18.856924";"2018-09-15 19:42:35.788748";"None";"None";"None";"None"
"23";"Psychokopytníci";"PATRONA";"2018-09-15 07:17:52.498741";"2018-09-15 08:47:52.043059";"2018-09-15 09:59:07.652243";"2018-09-15 11:17:48.030819";"2018-09-15 13:17:11.839913";"2018-09-15 14:05:19.618257";"2018-09-15 14:56:31.516146";"2018-09-15 16:01:35.361799";"2018-09-15 17:33:22.312722";"2018-09-15 18:40:49.632821";"2018-09-15 19:10:59.793335";"2018-09-15 20:10:28.887864";"None";"None";"None"
"24";"TBC";"VELRYBA";"2018-09-15 07:41:06.889941";"2018-09-15 08:30:32.769961";"2018-09-15 09:58:26.915324";"2018-09-15 11:48:10.337132";"2018-09-15 14:08:10.778167";"2018-09-15 15:07:22.249068";"2018-09-15 16:22:27.038403";"2018-09-15 17:46:56.722896";"2018-09-15 18:54:27.407156";"2018-09-15 19:52:08.297579";"2018-09-15 20:15:16.120892";"None";"None";"None";"None"
"25";"Šneci";"PARKETA";"2018-09-15 08:06:17.414189";"2018-09-15 09:23:32.039633";"2018-09-15 10:43:51.682995";"2018-09-15 12:37:21.565870";"2018-09-15 14:51:26.513594";"2018-09-15 16:21:43.090651";"2018-09-15 17:09:57.562381";"2018-09-15 18:23:11.105668";"2018-09-15 19:07:01.786209";"2018-09-15 20:02:06.450108";"2018-09-15 20:25:46.244784";"None";"None";"None";"None"
"26";"IDDQD";"SASANKA";"2018-09-15 08:24:11.973604";"2018-09-15 09:24:42.682038";"2018-09-15 10:56:55.788961";"2018-09-15 12:56:29.047994";"2018-09-15 15:01:32.433931";"2018-09-15 16:26:34.357178";"2018-09-15 17:38:15.816865";"2018-09-15 18:37:30.962885";"2018-09-15 19:07:32.759291";"2018-09-15 20:10:24.969924";"2018-09-15 20:34:00.240476";"None";"None";"None";"None"
"27";"Lamas&Papas";"VITAMIN";"2018-09-15 07:39:51.719419";"2018-09-15 08:54:37.096144";"2018-09-15 10:17:16.211032";"2018-09-15 12:19:03.603252";"2018-09-15 14:26:07.478589";"2018-09-15 15:22:56.761539";"2018-09-15 16:57:47.990552";"2018-09-15 17:51:38.892305";"2018-09-15 19:10:06.790862";"2018-09-15 20:10:33.415601";"2018-09-15 20:22:41.793958";"None";"None";"None";"None"
"28";"Spaøený nudle";"OPLATKA";"2018-09-15 07:54:39.585946";"2018-09-15 09:22:56.099819";"2018-09-15 10:56:31.714502";"2018-09-15 11:51:32.537094";"2018-09-15 13:44:42.790276";"2018-09-15 14:58:06.405797";"2018-09-15 16:06:11.823721";"2018-09-15 17:26:02.316533";"2018-09-15 18:13:56.445544";"2018-09-15 19:17:34.816797";"2018-09-15 19:42:34.305908";"None";"None";"None";"None"
"29";"Bobika";"OBRATEL";"2018-09-15 07:56:37.609375";"2018-09-15 09:01:19.911632";"2018-09-15 10:30:23.391075";"2018-09-15 12:16:27.407084";"2018-09-15 14:27:45.821672";"2018-09-15 15:24:20.565228";"2018-09-15 16:58:33.360494";"2018-09-15 18:07:31.134190";"2018-09-15 19:15:43.955217";"2018-09-15 19:55:56.582276";"2018-09-15 20:06:55.906960";"None";"None";"None";"None"
"30";"Sovy v mazutu";"RYPADLO";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
"31";"Chnapy haraa!!";"NUDISTA";"2018-09-15 07:51:02.257795";"2018-09-15 08:36:54.410705";"2018-09-15 09:49:55.503595";"2018-09-15 12:03:11.462609";"2018-09-15 14:49:47.619826";"2018-09-15 15:42:57.391270";"2018-09-15 16:38:41.583512";"2018-09-15 18:01:09.320688";"2018-09-15 19:05:34.719102";"2018-09-15 19:45:47.349224";"2018-09-15 20:05:52.027900";"2018-09-15 12:15:48.845799";"None";"None";"None"
"32";"Destoffky";"VANILKA";"2018-09-15 08:40:06.629777";"2018-09-15 09:49:36.711832";"2018-09-15 10:51:57.903113";"2018-09-15 12:17:47.320074";"2018-09-15 14:21:01.391573";"2018-09-15 15:41:31.065053";"2018-09-15 17:07:11.109966";"2018-09-15 18:22:16.411377";"2018-09-15 18:50:50.035462";"2018-09-15 19:48:38.599281";"2018-09-15 20:12:02.550893";"None";"None";"None";"None"
"33";"POJELT";"PALANDA";"2018-09-15 07:39:52.474596";"2018-09-15 08:54:03.287620";"2018-09-15 10:28:30.139742";"2018-09-15 12:14:03.157564";"2018-09-15 14:14:59.352766";"2018-09-15 15:38:14.484383";"2018-09-15 17:07:38.909387";"2018-09-15 18:29:51.630385";"2018-09-15 19:01:14.535966";"2018-09-15 19:44:53.380935";"2018-09-15 20:09:03.604136";"None";"None";"None";"None"
"34";"Tak do desátého";"ETERNIT";"2018-09-15 07:51:26.163362";"2018-09-15 08:35:17.075640";"2018-09-15 09:41:36.646196";"2018-09-15 11:27:31.260369";"2018-09-15 13:30:50.778579";"2018-09-15 14:56:26.506692";"2018-09-15 16:11:27.008928";"2018-09-15 17:20:38.688663";"2018-09-15 18:37:44.589108";"2018-09-15 19:42:22.474869";"2018-09-15 20:02:12.053305";"None";"None";"None";"None"
"35";"Nostromo";"OHRYZEK";"2018-09-15 07:49:51.490176";"2018-09-15 08:51:12.693239";"2018-09-15 10:05:47.359356";"2018-09-15 12:53:03.790103";"2018-09-15 15:07:18.216277";"2018-09-15 16:00:56.910967";"2018-09-15 16:57:48.902463";"2018-09-15 18:22:12.145299";"2018-09-15 19:13:01.981064";"2018-09-15 20:00:07.972818";"2018-09-15 20:22:38.727211";"None";"None";"None";"None"
"36";"Už tam budem?";"BARVIVO";"2018-09-15 09:06:36.591424";"2018-09-15 10:06:48.723696";"2018-09-15 11:03:48.762132";"2018-09-15 13:03:46.974606";"2018-09-15 15:14:38.003656";"2018-09-15 16:10:23.945771";"2018-09-15 17:37:11.889299";"2018-09-15 18:45:35.118390";"2018-09-15 19:20:39.920673";"2018-09-15 20:10:27.331275";"None";"None";"None";"None";"None"
"37";"Lamy";"VIKUNA";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
"38";"Lamy2";"VIKUNA2";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
"39";"Lamy3";"VIKUNA3";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
