"userid";"username";"usercode";"p1";"p2";"p3";"p4";"p5";"p6";"p7";"p8";"p9";"p10";"p11";"p101";"p102";"p103";"p104"
"22";"Nadoj Duhu";"ONDATRA";"None";"None";"None";"2018-09-15 12:04:42.788478";"2018-09-15 14:05:16.459481";"None";"None";"2018-09-15 17:08:33.567807";"2018-09-15 18:03:48.779752";"None";"None";"None";"None";"None";"None"
"23";"Psychokopytníci";"PATRONA";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"2018-09-15 19:47:57.495531";"2018-09-15 19:49:13.571555";"2018-09-15 19:49:21.622986";"2018-09-15 16:07:30.078577"
"24";"TBC";"VELRYBA";"None";"None";"None";"2018-09-15 11:21:27.916475";"2018-09-15 13:43:57.703941";"None";"2018-09-15 16:10:32.523273";"2018-09-15 17:32:11.360750";"2018-09-15 18:28:50.821651";"2018-09-15 19:50:38.870384";"None";"None";"None";"None";"None"
"25";"Šneci";"PARKETA";"None";"None";"2018-09-15 10:28:52.751048";"2018-09-15 12:14:12.507107";"2018-09-15 14:20:26.072684";"None";"None";"2018-09-15 18:07:03.392302";"None";"None";"None";"2018-09-15 18:01:55.990083";"2018-09-15 18:19:23.506275";"2018-09-15 18:42:32.547905";"None"
"26";"IDDQD";"SASANKA";"None";"None";"None";"2018-09-15 12:22:37.067101";"2018-09-15 14:58:06.999065";"2018-09-15 16:21:53.700121";"2018-09-15 17:36:11.516886";"2018-09-15 18:24:58.977149";"2018-09-15 19:00:37.111360";"2018-09-15 20:02:54.974011";"None";"None";"None";"None";"None"
"27";"Lamas&Papas";"VITAMIN";"None";"None";"None";"2018-09-15 11:53:59.970350";"2018-09-15 14:06:42.091115";"None";"2018-09-15 16:49:00.335661";"None";"2018-09-15 18:41:34.997625";"2018-09-15 20:03:14.935014";"None";"None";"None";"None";"None"
"28";"Spaøený nudle";"OPLATKA";"None";"2018-09-15 08:53:09.839050";"2018-09-15 10:21:50.510552";"2018-09-15 11:44:11.229158";"2018-09-15 13:24:21.872627";"2018-09-15 14:49:53.910522";"None";"2018-09-15 17:04:30.731391";"2018-09-15 18:01:47.998445";"2018-09-15 19:11:41.443341";"None";"None";"None";"2018-09-15 20:15:23.629829";"None"
"29";"Bobika";"OBRATEL";"None";"None";"2018-09-15 10:11:28.257476";"2018-09-15 12:04:36.116310";"None";"None";"None";"2018-09-15 18:04:12.526986";"2018-09-15 18:40:27.684224";"2018-09-15 19:51:05.295516";"None";"None";"None";"None";"None"
"30";"Sovy v mazutu";"RYPADLO";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
"31";"Chnapy haraa!!";"NUDISTA";"None";"None";"None";"None";"2018-09-15 14:24:17.278759";"None";"None";"2018-09-15 17:40:19.479368";"2018-09-15 18:36:10.007925";"None";"None";"None";"2018-09-15 17:44:31.149956";"2018-09-15 20:07:11.264049";"None"
"32";"Destoffky";"VANILKA";"2018-09-15 07:52:15.194575";"2018-09-15 09:32:26.129446";"2018-09-15 10:45:27.085786";"2018-09-15 12:05:56.714382";"2018-09-15 13:42:48.378053";"2018-09-15 15:28:06.698544";"2018-09-15 17:00:22.473705";"2018-09-15 17:56:56.304144";"2018-09-15 18:49:10.566063";"None";"None";"None";"2018-09-15 14:16:21.014201";"None";"None"
"33";"POJELT";"PALANDA";"None";"None";"None";"2018-09-15 11:38:43.227699";"2018-09-15 13:45:59.105753";"None";"2018-09-15 16:36:51.831153";"None";"2018-09-15 18:55:46.334066";"None";"None";"None";"None";"None";"None"
"34";"Tak do desátého";"ETERNIT";"None";"None";"None";"2018-09-15 11:18:41.610358";"2018-09-15 13:06:45.317193";"None";"None";"None";"2018-09-15 18:23:55.517355";"None";"None";"2018-09-15 17:26:44.228378";"2018-09-15 16:16:05.139225";"2018-09-15 17:27:51.643318";"None"
"35";"Nostromo";"OHRYZEK";"None";"None";"None";"2018-09-15 12:13:09.835112";"2018-09-15 14:57:35.332191";"None";"None";"2018-09-15 18:00:32.866677";"2018-09-15 19:04:38.794421";"None";"None";"None";"None";"None";"None"
"36";"Už tam budem?";"BARVIVO";"2018-09-15 08:56:04.834798";"2018-09-15 09:35:28.726848";"2018-09-15 11:00:41.106533";"2018-09-15 12:35:31.803060";"2018-09-15 15:05:22.611494";"None";"2018-09-15 17:04:15.087217";"2018-09-15 18:30:15.449183";"2018-09-15 19:11:53.153598";"2018-09-15 20:09:46.067623";"None";"2018-09-15 10:59:34.704078";"None";"None";"None"
